"iso","adm1","umd_tree_cover_gain_2000-2012__ha","umd_tree_cover_extent_2000__ha"
"USA",1,1712129.98630111465423157,8662933.38244664199127291
"USA",2,66998.20570219535504397,36891039.969519792444209650
"USA",3,3198.77946747399925460,1172766.152831256277557319
"USA",4,837271.25171774866734398,7327296.63366477722787302
"USA",5,291912.984680098792776904,8030227.995282482379802778
"USA",6,16811.620595942857294050,3706402.110311366019040541
"USA",7,1380.90033139413010454,929457.84948108579143737
"USA",8,10474.50891812112647544,150665.633830365445982525
"USA",9,0.30107795521700533,2572.98246462375408325
"USA",10,1079708.05112686329633604,6337546.70477600135495350
"USA",11,1533846.90944541886989531,9230106.60035711640353997
"USA",12,4378.55594508191154113,579274.71592214999714556
"USA",13,217230.533195777843248140,6406901.990920871046951118
"USA",14,6181.708486053006527711,1967943.101003252191202972
"USA",15,2180.76497508907953670,1951143.869566616208789064
"USA",16,2955.06795168382223420,1018898.84506524843336296
"USA",17,6054.449936514534173994,689112.604069639513572982
"USA",18,15499.635062282646940505,5188220.997350706321339590
"USA",19,1145459.46581907640793816,5878068.70585105245099822
"USA",20,207931.751223949209722105,7067398.265191573160033415
"USA",21,35350.007415836013540874,1113355.730305308635846389
"USA",22,2853.78671072049398838,1442376.503366271692923484
"USA",23,95054.43310878508853874,8127898.216792695892631023
"USA",24,92333.977627535311374475,7309686.45707007056078718
"USA",25,1420970.79550879540945311,7327522.90237819737728924
"USA",26,19842.180202601421957116,6272761.933318495471499473
"USA",27,212827.132311480588278224,6401770.600691671879362795
"USA",28,2550.87879504784186755,199517.355756011271691446
"USA",29,1314.429297091813447435,381560.139004799651260000
"USA",30,14491.78687809909447995,2032961.36268638954965036
"USA",31,7627.67280570296629893,991411.383579771927105169
"USA",32,4031.34707998518662643,1627492.80918107092840262
"USA",33,13791.714108119677319386,8041408.082908959410337329
"USA",34,744205.63161161371806432,7561175.03485526359618152
"USA",35,6119.93621614226813507,247932.75834723576201861
"USA",36,10953.24964417410404480,3308150.89986597412589615
"USA",37,140043.77274205748825796,2957563.606286454981164994
"USA",38,768040.734745470367963048,8599667.03466941698471858
"USA",39,9690.66996351206986070,7150618.80372843524954610
"USA",40,296.20726278582004138,175257.123661530867070735
"USA",41,803494.62042087084276828,4907538.43587467712835089
"USA",42,9759.192938582410083636,327937.717002037692626146
"USA",43,191066.93139485387598927,5887533.536730288700534764
"USA",44,866488.42362668037851677,7009938.40890129194419324
"USA",45,3642.36268784907855787,1499685.761098336102192846
"USA",46,4815.73812808616538523,1929997.814160375765264224
"USA",47,459379.41882495474965727,6626443.274514426234462594
"USA",48,541630.725305480718518674,8043986.773859690304992659
"USA",49,15326.441226848727175474,5012575.45359844631198821
"USA",50,93946.66665087703591553,6687156.947327592520550409
"USA",51,51290.94761601686846908,2146952.118985917799463406
