"iso","umd_tree_cover_extent_2000__ha","area__ha"
"ABW",24.95241082599369445,18197.51125791390635734
"AFG",205791.247166144095347475,64385715.386375508231499174
"AGO",55292492.03695812007724637,124742297.51716764205687850
"AIA",2125.76740300951157336,8332.24776609999010690
"ALA",107727.26260978562786458,150643.27696422282369550
"ALB",648680.052297083591191611,2873537.207249196412867479
"AND",19004.03765966433248098,45196.41073184011686451
"ARE",0.0,7120447.90264583159032567
"ARG",39086979.320574434302058770,278010122.069260997243845659
"ARM",336842.15093742832761104,2969008.679990604691676289
"ATF",71.636103116352203,4361.76931273124458
"ATG",19323.34434460053019847,43575.65842129689398179
"AUS",42280598.372394307575953314,768791339.392886815743878503
"AUT",4336043.427728241036518809,8385801.905499036053340430
"AZE",1268610.215076359432881620,8623532.539268757663185300
"BDI",537674.34837591005899932,2693531.44182172765760664
"BEL",865425.884589582712308565,3070744.16406728466425518
"BEN",168568.17385020257079692,11542318.34442389737933526
"BES",2432.08701945913692633,32365.98588799982162245
"BFA",132.10845248512949653,27341710.74521906909951121
"BGD",1938957.84070302929141581,13938437.48300880746164537
"BGR",4138947.995683049611803613,11158730.954921991623548471
"BHR",0.0,71517.71355014442197464
"BHS",303575.42138555141988457,1338763.00509971801021293
"BIH",2657977.375734759932217595,5106883.294355551697525489
"BLM",621.95062042342871954,2468.52481734708517875
"BLR",9118585.551327214262418318,20706912.088081213712587680
"BLZ",1748275.85481304884564009,2198946.13206764874555221
"BMU",604.79413164728569547,6808.11859428183878424
"BOL",64521463.01088311877640048,108339284.56962181906094412
"BRA",519187508.44571200037752214,850035649.73937857726409720
"BRB",5229.73614467184448051,43466.14610413980502093
"BRN",529338.97440789092980139,577778.77387917569899848
"BTN",2577234.59845876950438865,3876296.12215349137721090
"BWA",20328.41012015505840702,57788401.20901978911216256
"CAF",47073501.13444813594334443,62019959.33841998488157799
"CAN",418066982.187517819788714824,983422992.073764504568842201
"CHE",1544417.660332400281330430,4124549.641869992652932726
"CHL",19287066.431302730299150767,75735291.610010210321295752
"CHN",162748596.437133349702559680,938223515.692160685228733359
"CIV",14828985.41419986440844709,32068255.94805016838066555
"CMR",31459332.15238728764560868,46604005.88969180433423518
"COD",199281686.52502502108541475,232912780.76089194472062385
"COG",26388373.13192014805649744,34173222.79362575126231501
"COL",81801036.05465378740006974,113675874.94466478184045630
"COM",134784.16599876902425654,167304.82830116488736093
"CPV",7355.95390616766163513,409097.90660209566326451
"CRI",3913048.86417352511257440,5117666.97282920297500218
"CUB",4014607.41507640206366557,11073122.02319277755070807
"CUW",5260.66776782057744726,43776.98739260667811550
"CYM",13458.39070138514342825,28039.82870752881174214
"CYP",89657.93337907569190893,571955.85590282187603430
"CZE",3080384.407604375365002531,7883558.885973749521129664
"DEU",12526779.901286126942666483,35783855.986934587164298979
"DJI",0.07522455290689677,2186335.76499706251751948
"DMA",70924.82619295999805771,75428.07801478349679313
"DNK",663203.697841189727641226,4314471.770574014754358116
"DOM",2576426.46692096113273141,4809195.18837589432068901
"DZA",1223621.290839044082491414,230804377.307402868984366240
"ECU",19027558.83812812390095823,25611545.50902486865944290
"EGY",154304.25470168736125622,98376439.43312251270432667
"ERI",4.60761319909163021,12045733.19758756639429440
"ESH",0.0,26732059.55214608125881702
"ESP",11018923.060406115298922671,50604278.841081986812850213
"EST",2639428.801214099639006425,4548974.01267698715490839
"ETH",12040336.15060824691204031,112951806.95088721134613639
"FIN",21627651.620616197435295742,33693917.990935408742114163
"FJI",1556559.24283953233755083,1808230.90053435539427710
"FLK",2188.35746794302316156,1239764.84812085905219026
"FRA",16783020.102673707666870341,54951497.532275750312996904
"FRO",0.0,143971.298341167312966
"FSM",6171.71774540187033140,10266.94449256659709146
